"nazwa","TERYT","odl_Wawa","odl_woj"
"Tomice","1218082",278,37
"Lwówek Śląski","0212033",397,97
"Warlubie","0414112",228,67
"Gostycyn","0416022",260,75
"Biała Podlaska","0601032",134,97
"Wisznice","0601182",153,75
"Sławatycze","0601142",178,93
"Piszczac","0601112",162,100
"Rossosz","0601132",148,80
"Buczek","1003012",152,35
"Józefów","1417011",16,16
"Celestynów","1417032",31,31
"Kuczbork-Osada","1437022",119,119
"Choroszcz","2002013",164,13
"Tuchola","0416063",265,85
"Chodecz","0418063",140,75
"Turobin","0602142",196,46
"Gubin","0802052",432,51
"Gubin","0802011",433,53
"Bytnica","0802032",403,36
"Witonia","1004082",122,43
"Lesznowola","1418032",20,20
"Bodzanów","1419022",78,78
"Chmielnik","1816042",263,13
"Trzebownisko","1816132",245,14
"Łapy","2002063",149,24
"Poświętne","2002082",141,33
"Lubraniec","0418123",154,58
"Częstochowa","2464011",208,67
"Międzyrzecz","0803023",374,57
"Bytom Odrzański","0804023",365,31
"Ośno Lubuskie","0805033",421,72
"Rzgów","1006103",124,13
"Paradyż","1007052",123,67
"Opoczno","1007043",105,70
"Sławno","1007072",112,62
"Załuski","1420122",48,48
"Gogolin","1605013",286,22
"Zdzieszowice","1605053",288,31
"Przemków","0216053",370,92
"Borów","0217012",320,30
"Jasienica","2402052",306,43
"Wilamowice","2402093",291,35
"Janowiec","0614032",115,49
"Końskowola","0614052",116,40
"Puławy","0614092",104,54
"Liniewo","2206052",278,43
"Zapolice","1019032",167,48
"Galewice","1018032",214,94
"Skołyszyn","1805092",277,55
"Wojaszówka","1807092",276,32
"Wojcieszów","0226011",383,77
"Złotoryja","0226021",376,75
"Pakość","0407073",211,40
"Rojewo","0407082",202,22
"Bobrowniki","0408022",152,38
"Boleszkowice","3210022",445,82
"Nowogródek Pomorski","3210052",413,66
"Ulan-Majorat","0615072",106,69
"Nowodwór","0616032",95,59
"Stężyca","0616052",84,72
"Świdnik","0617011",159,8
"Głowno","1020011",97,26
"Głowno","1020052",98,28
"Rogów","1021052",93,28
"Garwolin","1403011",54,54
"Borowie","1403032",58,58
"Żelechów","1403143",73,73
"Horyniec-Zdrój","1809032",277,105
"Wąsosz","0204043",308,53
"Kozielice","3212022",434,40
"Darłowo","3213032",393,159
"Tomaszów Lubelski","0618011",258,105
"Rachanie","0618072",255,102
"Potęgowo","2212072",345,81
"Główczyce","2212042",361,90
"Kobylnica","2212062",362,112
"Huszlew","1410012",122,122
"Łosice","1410023",115,115
"Barczewo","2814013",181,18
"Bisztynek","2801043",207,47
"Grunwald","2815032",157,35
"Ostróda","2815011",180,35
"Olsztyn","2862011",176,0
"Pozezdrze","2819022",220,101
"Lelkowo","2802042",241,65
"Działdowo","2803011",127,63
"Braniewo","2802022",251,77
"Margonin","3001043",280,64
"Drawsko","3002032",348,75
"Połajewo","3002062",305,46
"Włoszakowice","3013072",322,64
"Rydzyna","3013043",305,71
"Czajków","3018012",208,140
"Kaczory","3019032",300,82
"Piła","3019011",307,82
"Wysoka","3019093",290,89
"Ujście","3019073",308,72
"Kleszczewo","3021062",267,19
"Obrzycko","3024042",311,41
"Miejska Górka","3022033",287,81
"Skoki","3028053",267,34
"Krajenka","3031033",301,95
"Wilczyn","3010142",198,87
"Nagłowice","2602042",187,41
"Sędziszów","2602063",199,51
"Imielno","2602012",188,33
"Bieliny","2604012",156,24
"Mniów","2604112",142,21
"Końskie","2605033",127,38
"Stąporków","2605083",125,33
"Ożarów","2606053",158,77
"Wilczyce","2609082",170,73
"Pińczów","2608043",198,42
"Osiek","2612043",192,67
"Waśniów","2607062",150,43
"Złota","2608052",208,52
"Sandomierz","2609011",179,82
"Samborzec","2609072",180,75
"Giżycko","2806011",206,90
"Pasłęk","2804073",221,59
"Kluczewsko","2613012",161,50
"Iława","2807011",182,63
"Cisna","1821022",352,97
"Lutowiska","1801052",361,109
"Mrozy","1412123",57,57
"Szczawnica","1211023",314,79
"Sękowa","1205092",293,101
"Szczytna","0208143",382,90
"Lewin Kłodzki","0208092",388,93
"Józefów nad Wisłą","0612023",147,50
"Wiślica","2601083",209,54
"Sanniki","1404043",82,82
"Jednorożec","1422042",103,103
"Jasionówka","2008022",185,31
"Tychy","2477011",275,10
"Nowe Miasto nad Wartą","3025032",251,50
"Sopot","2264011",297,13
"Hel","2211011",307,31
"Krokowa","2211062",343,59
"Rawa Mazowiecka","1013042",76,52
"Zduńska Wola","1019042",161,41
"Czerniewice","1016042",89,50
"Mały Płock","2006042",135,80
"Iława","2807032",185,60
"Bartoszyce","2801032",222,53
